education,joiningyear,city,paymenttier,age,gender,everbenched,experienceincurrentdomain,offtime,employeeid,department
Bachelors,2017,Ratu road ,3,34,Male,No,0,7,EMP0001,Marketing
Bachelors,2013,Lalpur,1,28,Female,No,3,2,EMP0002,Finance
Bachelors,2014,kanke,3,38,Female,No,2,11,EMP0003,IT
Masters,2016,Ratu road ,3,27,Male,No,5,8,EMP0004,IT
Masters,2017,Lalpur,3,24,Male,Yes,2,11,EMP0005,Sales
Bachelors,2016,Ratu road ,3,22,Male,No,0,4,EMP0006,IT
Bachelors,2015,kanke,3,38,Male,No,0,9,EMP0007,HR
Bachelors,2016,Ratu road ,3,34,Female,No,2,4,EMP0008,Finance
Bachelors,2016,Lalpur,3,23,Male,No,1,12,EMP0009,IT
Masters,2017,kanke,2,37,Male,No,2,10,EMP0010,Sales
Masters,2012,Ratu road ,3,27,Male,No,5,6,EMP0011,Finance
Bachelors,2016,Lalpur,3,34,Male,No,3,0,EMP0012,Marketing
Bachelors,2018,Lalpur,3,32,Male,Yes,5,5,EMP0013,Finance
Bachelors,2016,Ratu road ,3,39,Male,No,2,10,EMP0014,HR
Bachelors,2012,Ratu road ,3,37,Male,No,4,9,EMP0015,Marketing
Bachelors,2017,Ratu road ,1,29,Male,No,3,6,EMP0016,Sales
Bachelors,2014,Ratu road ,3,34,Female,No,2,3,EMP0017,Finance
Bachelors,2014,Lalpur,3,34,Male,No,4,4,EMP0018,Marketing
Bachelors,2015,Lalpur,2,30,Female,No,0,11,EMP0019,IT
Bachelors,2016,kanke,2,22,Female,No,0,6,EMP0020,Sales
Bachelors,2012,Ratu road ,3,37,Male,No,0,11,EMP0021,Finance
Masters,2017,kanke,2,28,Male,No,4,4,EMP0022,IT
Bachelors,2017,kanke,2,36,Male,No,3,5,EMP0023,IT
Bachelors,2015,Ratu road ,3,27,Male,Yes,5,7,EMP0024,Marketing
Bachelors,2017,Ratu road ,3,29,Male,No,4,1,EMP0025,HR
Bachelors,2013,Ratu road ,3,22,Female,Yes,0,6,EMP0026,Finance
Bachelors,2016,Ratu road ,3,37,Male,No,2,3,EMP0027,IT
Bachelors,2015,Ratu road ,3,23,Male,No,1,9,EMP0028,Sales
Bachelors,2013,Lalpur,2,31,Female,No,2,9,EMP0029,Sales
Masters,2017,kanke,2,30,Female,No,2,5,EMP0030,Marketing
PHD,2013,kanke,3,25,Male,No,3,3,EMP0031,Marketing
Bachelors,2014,Ratu road ,3,23,Male,No,1,2,EMP0032,Sales
Bachelors,2018,Ratu road ,3,26,Male,No,4,7,EMP0033,HR
Bachelors,2016,Ratu road ,3,40,Male,No,5,2,EMP0034,IT
Bachelors,2017,Lalpur,2,37,Female,No,0,1,EMP0035,Marketing
